"","Name","2018Ridership","Rank2018","geometry"
"168","Jefferson St",7674,196,c(-73.9229130000312, 40.7066066659887)
"169","Junius St",2080,393,c(-73.9024486418356, 40.6635890018172)
"170","Kings Hwy",19569,72,c(-73.9576087353808, 40.608638645396)
"171","Kings Hwy",4567,307,c(-73.9723553085244, 40.6032584051283)
"172","Kings Hwy",3328,351,c(-73.9803730022934, 40.6040589998049)
"173","Kingston Av",4623,304,c(-73.9421597839296, 40.6694814486498)
"174","Kingston-Throop Avs",6585,232,c(-73.9408589987126, 40.679918999416)
"175","Knickerbocker Av",2446,384,c(-73.9197200018862, 40.6986600012381)
"176","Kosciuszko St",6144,246,c(-73.9285089992741, 40.693172001292)
"177","Lafayette Av",4889,289,c(-73.9739459984941, 40.6861130002057)
"178","Liberty Av",2754,375,c(-73.8965480010393, 40.6745419998709)
"179","Livonia Av",3209,357,c(-73.9005623722606, 40.6640572709464)
"180","Lorimer St",4837,293,c(-73.947354998842, 40.7038440000421)
"181","Lorimer St /Metropolitan Av",14299,108,c(-73.9502479999697, 40.7140720006472)
"182","Marcy Av",13315,113,c(-73.9578320007573, 40.7083830000179)
"183","Montrose Av",6884,225,c(-73.9397928471351, 40.7073910643846)
"184","Morgan Av",7510,202,c(-73.9331470002421, 40.7061516668073)
"185","Myrtle Av",12122,127,c(-73.9356230012996, 40.6971950005145)
"186","Myrtle-Willoughby Avs",5736,263,c(-73.9490669989016, 40.6946189990377)
"187","Myrtle-Wyckoff Avs",21241,63,c(-73.9109757182647, 40.6994710624271)
"188","Nassau Av",9312,168,c(-73.9511830001652, 40.7244799978083)
"189","Neck Rd",4405,315,c(-73.9550782749376, 40.595321691117)
"190","Neptune Av",1516,410,c(-73.9745927281881, 40.5807387584915)
"191","Nevins St",10426,151,c(-73.9804067987458, 40.6883105801902)
"192","New Lots Av",5573,268,c(-73.8841107080033, 40.6663149325969)
"193","New Lots Av",4869,290,c(-73.8992779605714, 40.6589147736853)
"194","New Utrecht Av /62 St",4673,302,c(-73.9963530002597, 40.6248416672589)
"195","Newkirk Av",7312,204,c(-73.9482999082241, 40.6399912427531)
"196","Newkirk Plaza",10534,149,c(-73.9626948683726, 40.6351419373379)
"197","Norwood Av",3190,360,c(-73.8796259991078, 40.6815200004568)
"198","Nostrand Av",3907,327,c(-73.9504262489579, 40.6699381509305)
"199","1 Av",20998,65,c(-73.9816808748913, 40.7309749758007)
"200","103 St",5444,272,c(-73.9613700826762, 40.7960607399045)
"201","103 St",12569,122,c(-73.9683789996082, 40.7994460003348)
"202","103 St",13285,114,c(-73.9474780015222, 40.7906000000845)
"203","110 St",10851,142,c(-73.9442499968716, 40.7950200001131)
"204","116 St",10707,147,c(-73.949625000969, 40.802097999133)
"205","116 St",14715,100,c(-73.9416169983714, 40.7986290002001)
"206","116 St",7613,198,c(-73.9547977805731, 40.8050581334421)
"207","116 St-Columbia University",15079,97,c(-73.9641099975775, 40.8077220012309)
"208","125 St",7679,195,c(-73.9583720009704, 40.8155809999789)
"209","125 St",14746,99,c(-73.9454950001141, 40.8077539991828)
"210","125 St",27605,37,c(-73.9375940005573, 40.8041380005872)
"211","125 St",27677,35,c(-73.9522479973477, 40.8110716729946)
"212","135 St",14343,106,c(-73.9407700010671, 40.8142290003391)
"213","135 St",5490,270,c(-73.9475348087921, 40.8179055592127)
"214","137 St-City College",13371,112,c(-73.9536760008787, 40.8220079996848)
"215","14 St /6 Av",48508,16,c(-73.9962089992136, 40.7382279996951)
"216","14 St /8 Av",44031,18,c(-74.0016899993703, 40.7408930001933)
"217","14 St-Union Sq",103572,4,c(-73.9899509988188, 40.7346730009961)
"218","145 St",9433,166,c(-73.9503599987971, 40.8265509996219)
"219","145 St",2105,390,c(-73.936244998733, 40.8204209996928)
"220","145 St",23047,55,c(-73.9440879282312, 40.8247663608719)
"221","155 St",3595,338,c(-73.9382089981162, 40.8301349999812)
"222","155 St",3168,362,c(-73.9415140008221, 40.8305179992925)
"223","157 St",11036,139,c(-73.9448899990105, 40.8340410001399)
"224","163 St-Amsterdam Av",1711,407,c(-73.9398920018834, 40.836012999231)
"225","168 St",26138,42,c(-73.9395609998543, 40.8407189999079)
"226","175 St",12580,121,c(-73.939703997616, 40.847391000724)
"227","18 St",8860,172,c(-73.9978710006041, 40.7410399998021)
"228","181 St",11342,135,c(-73.9335959996056, 40.8495049997407)
"229","181 St",10760,146,c(-73.9379690020501, 40.8516949997446)
"230","190 St",4574,306,c(-73.9341799996433, 40.8590219989248)
"231","191 St",8032,189,c(-73.9294119974204, 40.8552250017584)
"232","2 Av",15995,87,c(-73.9899380000343, 40.7234016657491)
"233","207 St",6349,241,c(-73.9188190013231, 40.8646140005259)
"234","215 St",1787,404,c(-73.9152789995436, 40.8694439994605)
"235","23 St",15470,93,c(-73.9956570016487, 40.7440809998975)
"236","23 St",31597,31,c(-73.9865990020789, 40.7398640004746)
"237","23 St",24397,50,c(-73.998041001172, 40.7459059994)
"238","23 St",18416,76,c(-73.9927650047139, 40.742954317826)
"239","23 St",26381,40,c(-73.9893440010291, 40.74130266729)
"240","28 St",14797,98,c(-73.9933650013432, 40.7472149991822)
"241","28 St",12019,129,c(-73.9842640011041, 40.743069999259)
"242","28 St",14302,107,c(-73.9886980012874, 40.7454539997995)
"243","3 Av",6749,229,c(-73.9857500011209, 40.7326909997166)
"244","33 St",32608,30,c(-73.9820760014895, 40.7460809990914)
"245","34 St-Herald Square",126576,3,c(-73.9879368338264, 40.7496445600944)
"246","34 St-Hudson Yards",10789,145,c(-74.0021970944221, 40.755446359616)
"247","34 St-Penn Station",85180,6,c(-73.9910569991398, 40.7503730000395)
"248","34 St-Penn Station",80346,7,c(-73.9933909997058, 40.7522870007759)
"249","42 St-Bryant Pk /5 Av",55872,12,c(-73.9845909990471, 40.7541840013125)
